Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
83,0.369,0.005,0.29671,95.8478,99.6225,5.000000000000002e-09
84,0.366,0.006,0.30468,95.6066,99.6645,5.000000000000002e-09
85,0.367,0.005,0.30949,95.4074,99.6225,5.000000000000002e-09
86,0.368,0.005,0.31082,95.0404,99.654,5.000000000000002e-09
87,0.367,0.006,0.30893,95.5227,99.7274,5.000000000000002e-09
88,0.366,0.005,0.29853,95.5751,99.6645,5.000000000000002e-09
89,0.365,0.006,0.30049,95.5961,99.7693,5.000000000000002e-09
90,0.363,0.006,0.29746,95.8897,99.6854,5.000000000000002e-09
91,0.364,0.006,0.30074,95.5751,99.654,5.000000000000002e-09
92,0.364,0.005,0.30014,95.6905,99.6645,5.000000000000002e-09
93,0.364,0.006,0.29669,95.8478,99.6225,5.000000000000002e-09
94,0.363,0.005,0.30388,95.4493,99.7274,5.000000000000002e-09
95,0.363,0.005,0.30681,95.4283,99.675,5.000000000000002e-09
96,0.362,0.006,0.3003,95.5542,99.7798,5.000000000000002e-09
97,0.363,0.005,0.30387,95.5961,99.675,5.000000000000002e-09
98,0.363,0.006,0.30495,95.6171,99.6645,5.000000000000002e-09
99,0.365,0.006,0.30302,95.9002,99.7379,5.000000000000002e-09
100,0.365,0.006,0.29825,95.7848,99.675,5.000000000000002e-09
101,0.361,0.005,0.30794,95.4493,99.7483,5.000000000000002e-09
102,0.362,0.005,0.30495,95.4598,99.6435,5.000000000000002e-09
103,0.362,0.006,0.29641,95.638,99.7693,5.000000000000002e-09
104,0.361,0.005,0.2968,95.8687,99.675,5.000000000000002e-09
105,0.394,0.007,0.29619,95.8163,99.7379,5.000000000000002e-09
106,0.391,0.007,0.29791,95.8897,99.7483,5.000000000000002e-09
107,0.395,0.006,0.30312,95.8163,99.7064,5.000000000000002e-09
108,0.395,0.007,0.31071,95.1033,99.6854,5.000000000000002e-09
109,0.395,0.007,0.30137,95.6171,99.6645,5.000000000000002e-09
110,0.387,0.006,0.29974,95.5017,99.6854,5.000000000000002e-09
111,0.385,0.006,0.3044,95.4493,99.6854,5.000000000000002e-09
112,0.386,0.006,0.30335,95.5646,99.6645,5.000000000000002e-09
113,0.389,0.007,0.30063,95.5961,99.7379,5.000000000000002e-09
114,0.395,0.006,0.30012,95.6485,99.7274,5.000000000000002e-09
115,0.397,0.007,0.30343,95.5856,99.7064,5.000000000000002e-09
116,0.394,0.007,0.30902,95.3759,99.5701,5.000000000000002e-09
117,0.394,0.007,0.30447,95.701,99.675,5.000000000000002e-09
118,0.386,0.006,0.30042,95.9945,99.6225,5.000000000000002e-09
119,0.384,0.006,0.30703,95.4493,99.6854,5.000000000000002e-09
120,0.384,0.005,0.29246,95.9211,99.7064,5.000000000000002e-09
121,0.363,0.005,0.30148,95.6695,99.7169,5.000000000000002e-09
122,0.361,0.005,0.30229,95.6485,99.6854,5.000000000000002e-09
123,0.362,0.005,0.29978,95.638,99.7274,5.000000000000002e-09
124,0.361,0.005,0.29961,95.9736,99.7379,5.000000000000002e-09
125,0.361,0.006,0.30181,95.68,99.7379,5.000000000000002e-09
126,0.362,0.006,0.31126,95.3969,99.5282,5.000000000000002e-09
127,0.362,0.006,0.29631,95.7953,99.675,5.000000000000002e-09
128,0.388,0.006,0.29483,95.7534,99.6959,5.000000000000002e-09
129,0.388,0.006,0.29612,95.9002,99.6854,5.000000000000002e-09
130,0.391,0.007,0.30486,95.68,99.654,5.000000000000002e-09
0,0.125,0.004,14.54686,0.9542,5.3581,0.0005
